Key,File,Type,UsedInMainMenu,NoTranslate,english
perkPummelPeteRank1LongDesc,progression,perk Str,,,"You might not pack a punch, but as a roughneck you can swing a club! Clubs deal 10% more damage, attacks do 40% more damage to stunned enemies, and power attacks have a 60% chance to knock foes down. Stamina reduced by 8% and power attacks by 15%. Find more clubs and parts in loot.\nUnlocks baseball bat crafting."
perkSkullCrusherRank1LongDesc,progression,perk Str,,,"You're a bruiser! With a little luck, you can sometimes knock down geriatric zombies. Sledgehammers deal 10% more damage. 15% chance to knock down enemies with power attacks. Stamina costs are reduced by 8% and 15% for power attacks. Find more sledges and parts in loot.\nUnlocks iron sledgehammer crafting."
perkHeavyArmorRank1LongDesc,progression,perk Str,,,"You might move a little awkward in heavy armor but you're alive to talk about it. Craft quality 2 poor heavy armor, reduce heavy armor movement and stamina penalty by 5%. Improve durability by 50%.\nUnlocks iron armor crafting."
perkMasterChefRank1LongDesc,progression,perk Str,,,"Cooking is not your thing, but you know some basics.\nUse 20% less of a recipe's main ingredients.\nCook 40% faster.\nFind more cooking magazines in loot.\nUnlocks basic recipes such as bacon and eggs, boiled and grilled meats, baked potatoes, cornbread, teas and coffee."
perkMasterChefRank2LongDesc,progression,perk Str,,,"Don’t let good food go to waste!\nAdds a chance to find salvageable food in dumpsters.\nCook 60% faster.\nCraft steak and potatoes, meat stew, vegetable stew, blueberry pie, Sham Chowder, Hobo Stew, Chili dogs, Fish Tacos and several pumpkin dishes. Wash them down with Yucca Juice Smoothies and Beer."
perkMasterChefRank3LongDesc,progression,perk Str,,,"Cook for an army by making Gumbo Stew, Shepards Pie, Spaghetti and Tuna Gravy on Toast.\nUse 40% less of a recipe's main ingredients.\nCook 80% faster.\nLearn grandpa's secret recipes that boost stats and attributes!"
perkMiner69rRank1LongDesc,progression,perk Str,,,"Everyone has to start somewhere. Craft quality 2 poor tools, increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 8% and 15% for power attacks. Find more tools and parts in loot.\nUnlocks all iron tools like pickaxes."
perkBrawlerRank1LongDesc,progression,perk For,,,"Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Craft quality 2 poor knuckled weapons and deal 10% more damage with fists. Punches to the head negate infection ability. Stamina costs are reduced by 8% and 15% for power attacks. Find more knuckle weapons and parts in loot.\nUnlocks iron knuckles crafting."
perkMachineGunnerRank1LongDesc,progression,perk For,,,"Spray and Pray is your thing. Craft quality 2 poor machine guns. Machine guns deal 10% more damage, 5% faster fire rate and 10% faster reload.\nFind more machine guns, parts, and 7.62mm ammo in loot.\nUnlocks Ak47 Crafting."
perkLivingOffTheLandRank1LongDesc,progression,perk For,,,"Double the harvest of wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nFarm plots cost 30% less to craft."
perkLivingOffTheLandRank2LongDesc,progression,perk For,,,"You can craft seeds for berries and vegetables.\n50% chance to harvest 1 additional crop.\nFarm plots cost 50% less to craft."
perkArcheryRank1LongDesc,progression,perk Agi,,,"Many start on the path of the ranger but few can reach it. Craft quality 2 poor bows. Bows deal 10% more damage, 10% faster aim, draw and reload with bows.\nFind more bows and parts in loot.\nUnlocks wooden bow and iron crossbow crafting."
perkGunslingerRank1LongDesc,progression,perk Agi,,,"You're no Wyatt Earp but you're better than the average drifter. Craft quality 2 poor handguns. Handguns deal 10% more damage, 5% faster fire rate, and 10% faster reload with handguns.\nFind more handguns, parts, and 9mm ammo in loot.\nUnlocks pistol crafting."
perkDeepCutsRank1LongDesc,progression,perk Agi,,,"You might have a dull blade, but you know how to use it. Craft quality 2 poor knives. Bladed weapons deal 10% more damage. Inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding. Stamina costs are reduced by 8% and 15% for power attacks. Find more bladed weapons and parts in loot.\nUnlocks hunting knife crafting"
perkLightArmorRank1LongDesc,progression,perk Agi,,,"You have started on the path of the lightly armored warrior. Craft quality 2 poor light armor, reduce light armor movement penalty by 15% and stamina penalty by 10%. Improve durability by 50%.\nFind more armor and parts in loot.\nUnlocks leather armor crafting."
perkElectrocutionerRank1LongDesc,progression,perk Int,,,"Where are the instructions? You're smart, but remember to point it away from you and pull the trigger. Craft quality 2 poor stun batons. All batons deal 10% more damage. Stun batons electrify victims 20% longer. Stamina costs are reduced by 8% and 15% for power attacks. Find more batons and parts in loot.\nUnlocks stun baton crafting."
perkTurretsRank1LongDesc,progression,perk Int,,,"You have some crazy innovative ideas but your implementation could use some work. Craft poor quality 2 robots. Robotic weapons deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge crafting."
perkPhysicianRank1LongDesc,progression,perk Int,,,"Treated Critical injuries heal 15% faster.\nMedical healing items heal 25% more health over time.\nGain 100% more XP using bandages, first aid bandages, first aid kits and splints.\nSplints and Casts cure sprains instantly.\nCan craft chemistry stations, first aid bandages and plaster casts."
perkPhysicianRank3LongDesc,progression,perk Int,,,"Treated Critical injuries heal 50% faster.\nMedical healing items heal 100% more health over time.\nGain 500% more XP using bandages, first aid bandages, first aid kits and splints.\nCan craft first aid kits and steroids."
perkPhysicianRank4LongDesc,progression,perk Int,,,"Your medical knowledge makes removing limbs a breeze!\nGain an additional 20% chance to dismember enemies with batons. Craft items in the Chemistry Station 40% faster.\nCan craft Fortbites, Recog and antibiotics. Craft items 40% faster at chemistry stations."
perkAdvancedEngineeringRank1LongDesc,progression,perk Int,,,"You are now out of the stone age and an apprentice Engineer!\nGain 15% XP from electrical trap kills.\nCraft forges and craft items with them 20% faster.\nCraft glue cheaper."
perkAdvancedEngineeringRank2LongDesc,progression,perk Int,,,"The long hours tinkering on projects is starting to pay dividends!\nGain 30% XP from electrical trap kills.\nCraft workbenches and cement mixers and craft items with them 20% faster."
perkAdvancedEngineeringRank3LongDesc,progression,perk Int,,,"You really know your way around the workshop and can build about anything you set your mind to!\nLearn to craft generators, and build advanced base defense systems such as electric fences & blade traps. Craft military fiber.\nGain 45% XP from electrical trap kills.\nAll forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less."
perkAdvancedEngineeringRank4LongDesc,progression,perk Int,,,"You are the da Vinci of the apocalypse with all your amazing inventions!\nLearn to craft shotgun turrets for short range concentrated base defense, battery banks and nail guns.\nGain 60% XP from electrical trap kills.\nAll forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less."
perkAdvancedEngineeringRank5LongDesc,progression,perk Int,,,"You are now an Advanced Engineer and would make MacDyver jealous.\nLearn to craft SMG auto turrets for the best ranged base defense, and crucibles to forge steel in forges.\nGain 75% XP from electrical trap kills.\nAll forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less."
perkGreaseMonkeyRank1LongDesc,progression,perk Int,,,"Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic.\nCan craft bicycle parts.\nCraft wheels and bicycle parts 33% cheaper.\nRepair kits are 10 percent more effective on vehicles."
perkGreaseMonkeyRank2LongDesc,progression,perk Int,,,"Why pedal everywhere when there is enough junk lying around to make a minibike?\nCan craft minibike parts, gas cans and quality 2 car batteries.\nCraft minibike parts 33% cheaper.\nRepair kits are 20 percent more effective on vehicles."
perkGreaseMonkeyRank3LongDesc,progression,perk Int,,,"It was only a matter of time before going faster and carrying more gear was a necessity.\nYou can craft motorcycle parts, oil and quality 3 car batteries.\nCraft motorcycle parts 33% cheaper.\nRepair kits are 30 percent more effective on vehicles."
perkGreaseMonkeyRank4LongDesc,progression,perk Int,,,"Nothing beats the safety and warmth of a nice 4x4 truck.\nYou can craft 4x4 truck parts, more efficient stacks of gas cans and quality 4 car batteries.\nCraft 4x4 truck parts 33% cheaper.\nRepair kits are 40 percent more effective on vehicles."
perkGreaseMonkeyRank5LongDesc,progression,perk Int,,,"Your tinkering desire is never satisfied and only a true genius could figure out how to take to the skies with scrap iron.\nCan craft gyrocopter parts and quality 5 car batteries.\nCraft gyrocopter parts 33% cheaper.\nRepair kits are 50 percent more effective on vehicles."
perkBatterUpFoulBallsLongDesc,progression,perk  book,,,"Foul Balls: Power attacks with clubs have a 20% chance to ragdoll enemies.\nBack in the day baseball bats were all the rage but they must have had weaker zombies. It's time to up your game! You can craft steel clubs."
perkSpearHunter3BleedLongDesc,progression,perk  book,,,"Bleeding Damage: Spears have a 25% chance to cause bleeding damage.\nCraft steel spears with high damage and durability to hit them even harder."
perkGreatHeistGoldRushLongDesc,progression,perk  book,,,"Gold Rush: You seem to know exactly which safes to hit. Find 10% more dukes and cash in safes, cash registers & ATM machines. And no vault door or safe will stop a master thief armed with timed charges. Learn how to craft timed charges."
perkArtOfMiningDamageLongDesc,progression,perk  book,,,"Damage: This is the way. Mining tools do 10% more block damage. But you can't work if you can't see. Learn how to craft lanterns, mining hats and helmet light mods."
perkLightArmorDesc,progression,perk Agi,,,"Specialize in light armor to increase armor rating and armor durability."
perkLightArmorName,progression,perk Agi,,,"Light Armor"
perkLightArmorRank1Desc,progression,perk Agi,,,"Squire"
perkLightArmorRank1LongDesc,progression,perk Agi,,,"You have started on the path of the lightly armored warrior."
perkLightArmorRank2Desc,progression,perk Agi,,,"Militant"
perkLightArmorRank2LongDesc,progression,perk Agi,,,"You've survived some battles and hope to be a knight one day."
perkLightArmorRank3Desc,progression,perk Agi,,,"Knight"
perkLightArmorRank3LongDesc,progression,perk Agi,,,"All the hard training and battles have paid off, you are now a knight."
perkLightArmorRank4Desc,progression,perk Agi,,,"Gladiator"
perkLightArmorRank4LongDesc,progression,perk Agi,,,"You have made a name for yourself and are feared by nearly all as you are now a gladiator."
perkLightArmorRank5Desc,progression,perk Agi,,,"Legend"
perkLightArmorRank5LongDesc,progression,perk Agi,,, "You are legend. Or at least your gear is..."
perkMediumArmorRank5Desc,progression,perk Agi,,,"Legend"
perkMediumArmorRank5LongDesc,progression,perk Agi,,, "You are legend. Or at least your gear is..."
perkHeavyArmorRank5Desc,progression,perk Str,,,"Legend"
perkHeavyArmorRank5LongDesc,progression,perk Str,,, "You are legend. Or at least your gear is..."
perkPrimitiveArmorDesc,progression,perk Pri,,,"Specialize in primitive armor to increase armor rating and armor durability. Pride, not so much...\nIncreases by one every two level until you reach level ten."
perkPrimitiveArmorName,progression,perk Pri,,,"Primitive Armor"
perkPrimitiveArmorRank1Desc,progression,perk Pri,,,"Refugee"
perkPrimitiveArmorRank1LongDesc,progression,perk Pri,,,"You have discovered the path of the primitive warrior."
perkPrimitiveArmorRank2Desc,progression,perk Pri,,,"Survivor"
perkPrimitiveArmorRank2LongDesc,progression,perk Pri,,,"You've survived some battles and hope to get real armor one day."
perkPrimitiveArmorRank3Desc,progression,perk Pri,,,"Native"
perkPrimitiveArmorRank3LongDesc,progression,perk Pri,,,"All the hard training and battles have paid off, you have gone native."
perkPrimitiveArmorRank4Desc,progression,perk Pri,,,"Caveman"
perkPrimitiveArmorRank4LongDesc,progression,perk Pri,,,"You have made a name for yourself and are feared by nearly all as you are now a caveman. The captain would be proud."
perkPrimitiveArmorRank5Desc,progression,perk Pri,,,"Legend"
perkPrimitiveArmorRank5LongDesc,progression,perk Pri,,, "You are legend. Or at least your gear is... That said, not all legends are equal. If you've ever been inclined to question your life choices, now might be a good time."
buffGrantPrimitiveArmorName,buffs,Buff,,x,"Primitive Armor Buff"
buffGrantPrimitiveArmorDesc,buffs,Buff,,x,"Primitive Armor Buff"
attprimitiveskills,progression,Attribute,,,"Primitive"
attPrimitiveSkillsName,progression,Attribute,,,"Primitive"
attPrimitiveSkillsDesc,progression,Attribute,,,"Highly honed survival skills that you've spent years mastering. Who am I kidding... you started this stuff yesterday."
skillPrimitiveCraftingName,progression,Skill,,,"Primitive Crafting"
skillPrimitiveCraftingDesc,progression,Skill,,x,"If you've ever been inclined to question your life choices, now might be a good time."
skillPrimitiveCraftingLongDesc,progression,Skill,,x,"If you're trying to spend points here, you're doing something wrong."
armorNerdOutfitDesc,items,Clothes,,,"Heavy Armor\nYour lack of fashion sense gives you the ability to focus on your inventions. Adds one to intellect (it'd have to do something incredible for you to want to wear this ridiculous monstrosity).\n\nFull Set Bonus: Tools and Weapons degrade slower."
loadingTipCraftingBetterQL,UI,Loading Screen,x,,"At the start of the game you can only craft quality 1 tools and items such as a stone axe. The quality of an item is displayed at the bottom of its icon. To craft higher quality items, unlock crafting levels with perks, and read various crafting schematics found in loot, at the trader, or even as a quest reward."
loadingTipUnlockingRecipes,UI,Loading Screen,x,,"If a recipe shows a lock icon, you cannot craft it yet. The item's ""unlock"" tab will show you one or more ways to unlock it.\nRecipes are unlocked by reading a schematic, a perk book, or spending points on the relevant perk."
loadingTipPerkLootBoost,UI,Loading Screen,x,,"Investing points into a perk will increase the chances of finding parts and ammo for that perk when searching in qualifying loot containers.\nFor example, the Boomstick perk will increase the chances of finding shotgun parts, shotguns, and shotgun shells in Shotgun Messiah Crates, Gun Safes, or Weapon Bags."
loadingTipKnownSchematics,UI,Loading Screen,x,,"If you have a perk book or mod schematic in your inventory, you can tell if you have already read it by looking at the small book symbol in the top left of the item's icon. If you have already read one, then it will show an open book symbol."
